基金代码,基金名称,一级分类,二级分类,3月评分,6月评分,1年评分,2年评分,3年评分,5年评分,7年评分,10年评分
002555,博时沪港深优质企业基金C,混合型,混合型-灵活,96.7542,95.5914,95.5488,94.0008,92.8047,90.1472,84.90458945460144,76.77582156111576
519181,万家和谐增长混合A,混合型,混合型-灵活,89.9617,93.3198,95.5278,92.1312,90.247,88.7861,84.6859981871355,78.29612115407637
002340,富国价值优势混合A,混合型,混合型-偏股,96.7751,96.0171,95.5278,95.1146,92.7837,92.0654,86.51965290485882,77.80572848078535
000756,建信潜力新蓝筹股票A,股票型,股票型,96.8619,95.8959,95.5259,93.1817,91.2644,88.6922,86.3941099006345,77.2520726086436
160212,国泰估值优势混合(LOF)A,混合型,混合型-偏股,98.3165,97.5181,95.5237,93.5755,90.7208,89.5248,84.96615843751603,77.12962408715433
270022,广发内需增长混合A,混合型,混合型-灵活,97.5817,96.8694,95.5233,91.9945,90.6493,89.3889,84.2545877443519,74.84212259068599
160211,国泰中小盘成长混合(LOF),混合型,混合型-偏股,98.2596,97.5435,95.5177,92.1804,89.7559,89.1243,85.7948277778728,75.65825900873938
161017,富国中证500指数增强(LOF)A,指数型,指数型-股票,95.3999,96.4294,95.5091,92.3901,90.5179,87.142,83.79314104427837,75.56424338560996
161219,国投瑞银新兴产业混合(LOF)A,混合型,混合型-灵活,89.9093,93.8338,95.5039,93.3839,91.264,90.4406,85.13173196969437,76.68251676044534
001714,工银文体产业股票A,股票型,股票型,97.4216,97.352,95.5035,95.2902,93.6001,91.3974,86.35894289476835,75.57557913324554
320011,诺安中小盘精选混合A,混合型,混合型-偏股,93.9094,94.5888,95.4968,93.1335,90.9772,88.351,84.13764943305227,75.23827517059739
001105,信澳转型创新股票A,股票型,股票型,97.5877,97.245,95.496,93.6759,91.6728,88.7299,83.97715320415249,81.15665778762121
001837,前海开源沪港深蓝筹精选混合A,混合型,混合型-灵活,92.1196,94.7362,95.496,93.7734,90.8848,89.6059,84.6402490123309,75.01840656051718
070023,嘉实深证基本面120联接A,指数型,指数型-股票,90.7219,93.6138,95.493,94.4324,92.686,89.1071,83.37097663799148,73.58684753980606
373020,摩根双核平衡混合A,混合型,混合型-平衡,96.0733,95.0617,95.4844,92.1911,90.4464,88.9258,82.73738263412632,74.1919819226625
001016,华夏沪深300指数增强C,指数型,指数型-股票,92.4398,94.5843,95.4818,93.866,92.1815,88.7236,83.64023404764755,74.86015503411947
001542,国泰互联网+股票,股票型,股票型,98.113,94.8439,95.4784,94.7143,92.2967,89.8173,85.07759188315575,74.83898000718304
100056,富国低碳环保混合,混合型,混合型-偏股,96.8873,97.0445,95.4784,94.2214,91.5985,87.8184,83.00215063877819,73.7058167724171
660010,农银策略精选混合,混合型,混合型-偏股,98.0247,96.3539,95.4747,94.8765,92.4597,90.6465,83.84231071813379,74.50335957141147
000409,鹏华环保产业股票,股票型,股票型,97.1582,95.6849,95.4732,92.3921,90.7104,89.7494,85.98536026406252,77.47953579552257
165312,建信央视财经50指数(LOF),指数型,指数型-股票,94.7489,95.759,95.4627,93.6881,91.6274,88.5335,84.00441030596365,76.09324494193703
610004,信澳中小盘混合A,混合型,混合型-偏股,97.9124,96.6778,95.4627,92.4383,91.6478,89.4411,84.42962109421764,76.32452412306955
310398,申万菱信沪深300价值指数A,指数型,指数型-股票,89.842,93.5323,95.4627,94.5263,92.7,88.1964,81.5892173043047,74.593933317371
167503,安信一带一路指数A,指数型,指数型-股票,89.8315,92.918,95.4418,90.8126,91.2092,87.9918,84.50679610405157,78.61999431342034
160215,国泰价值经典混合(LOF),混合型,混合型-灵活,97.8915,96.1129,95.4365,92.5829,90.5254,88.2705,85.8670858203212,77.49715671016402
000778,鹏华先进制造股票,股票型,股票型,97.9633,97.2083,95.4365,93.3198,91.3059,90.6989,85.45320543517299,76.61031216329462
001645,国泰大健康股票A,股票型,股票型,97.7643,97.337,95.4317,94.6542,92.6788,91.0176,87.45986258145062,76.94230366335448
001179,德邦大健康灵活配置混合A,混合型,混合型-灵活,95.4253,96.0134,95.4313,95.2087,92.9685,90.1277,85.62011509979307,74.5258440081408
001421,南方量化成长股票A,股票型,股票型,98.3464,98.0651,95.4275,91.6351,89.9682,87.3964,83.30630782781209,76.76583263498144
260110,景顺长城精选蓝筹混合,混合型,混合型-偏股,94.8641,95.8555,95.4219,94.0504,92.2214,88.4867,84.3610507773084,74.59120226266012
163110,申万菱信量化小盘股票(LOF)A,股票型,股票型,95.4717,96.2805,95.4212,91.2438,89.3097,86.5188,83.1872317046057,76.55007931282174
001875,前海开源沪港深优势精选混合A,混合型,混合型-灵活,94.8058,96.0778,95.4122,93.7131,92.2469,90.4207,85.21040344786304,75.28511462947445
001170,宏利复兴混合A,混合型,混合型-灵活,96.3022,96.8185,95.4025,94.8637,91.8893,90.4403,84.67098005849053,81.40447294385251
217016,招商深证100指数A,指数型,指数型-股票,94.3239,95.6625,95.3972,94.5802,92.323,89.3785,84.89582442578373,75.24078175505807
