基金代码,基金名称,一级分类,二级分类,3月评分,6月评分,1年评分,2年评分,3年评分,5年评分,7年评分,10年评分
260101,景顺长城优选混合,混合型,混合型-偏股,97.8556,97.2615,95.5821,94.8593,91.6829,89.3553,85.83175847856202,76.66856219322399
160512,博时卓越品牌混合(LOF)A,混合型,混合型-偏股,98.2207,97.8810,95.5611,90.5563,89.7706,89.1045,83.22138324981616,73.57248144379265
110003,易方达上证50增强A,指数型,指数型-股票,93.3392,94.6150,95.5600,94.6896,93.5722,89.8562,83.9521942501411,74.44159284089548
519196,万家新兴蓝筹A,混合型,混合型-灵活,90.0425,93.6632,95.5592,92.8959,90.2241,88.9902,85.5018941013494,79.80635699748593
001048,富国新兴产业股票A,股票型,股票型,97.0864,97.1717,95.5581,94.2958,91.8183,89.3099,86.6545488361752,81.33043517299174
001445,华安国企改革主题灵活配置混合A,混合型,混合型-灵活,98.1279,95.4028,95.5574,93.8134,92.6248,91.3950,87.4160374373621,76.32302765473483
050018,博时行业轮动混合,混合型,混合型-偏股,98.2761,97.5226,95.5536,94.0194,92.1647,89.7008,85.4879448786578,76.18408056985514
002555,博时沪港深优质企业基金C,混合型,混合型-灵活,96.7542,95.5914,95.5488,94.0008,92.8047,90.1472,84.90458945460144,76.77582156111576
002340,富国价值优势混合A,混合型,混合型-偏股,96.7751,96.0171,95.5278,95.1146,92.7837,92.0654,86.51965290485882,77.80572848078535
519181,万家和谐增长混合A,混合型,混合型-灵活,89.9617,93.3198,95.5278,92.1312,90.2470,88.7861,84.6859981871355,78.29612115407637
000756,建信潜力新蓝筹股票A,股票型,股票型,96.8619,95.8959,95.5259,93.1817,91.2644,88.6922,86.3941099006345,77.2520726086436
160212,国泰估值优势混合(LOF)A,混合型,混合型-偏股,98.3165,97.5181,95.5237,93.5755,90.7208,89.5248,84.96615843751603,77.12962408715433
270022,广发内需增长混合A,混合型,混合型-灵活,97.5817,96.8694,95.5233,91.9945,90.6493,89.3889,84.2545877443519,74.84212259068599
160211,国泰中小盘成长混合(LOF),混合型,混合型-偏股,98.2596,97.5435,95.5177,92.1804,89.7559,89.1243,85.7948277778728,75.65825900873938
161017,富国中证500指数增强(LOF)A,指数型,指数型-股票,95.3999,96.4294,95.5091,92.3901,90.5179,87.1420,83.79314104427837,75.56424338560996
161219,国投瑞银新兴产业混合(LOF)A,混合型,混合型-灵活,89.9093,93.8338,95.5039,93.3839,91.2640,90.4406,85.13173196969437,76.68251676044534
001714,工银文体产业股票A,股票型,股票型,97.4216,97.3520,95.5035,95.2902,93.6001,91.3974,86.35894289476835,75.57557913324554
320011,诺安中小盘精选混合A,混合型,混合型-偏股,93.9094,94.5888,95.4968,93.1335,90.9772,88.3510,84.13764943305227,75.23827517059739
001837,前海开源沪港深蓝筹精选混合A,混合型,混合型-灵活,92.1196,94.7362,95.4960,93.7734,90.8848,89.6059,84.6402490123309,75.01840656051718
001105,信澳转型创新股票A,股票型,股票型,97.5877,97.2450,95.4960,93.6759,91.6728,88.7299,83.97715320415249,81.15665778762121
070023,嘉实深证基本面120联接A,指数型,指数型-股票,90.7219,93.6138,95.4930,94.4324,92.6860,89.1071,83.37097663799148,73.58684753980606
373020,摩根双核平衡混合A,混合型,混合型-平衡,96.0733,95.0617,95.4844,92.1911,90.4464,88.9258,82.73738263412632,74.1919819226625
001016,华夏沪深300指数增强C,指数型,指数型-股票,92.4398,94.5843,95.4818,93.8660,92.1815,88.7236,83.64023404764755,74.86015503411947
100056,富国低碳环保混合,混合型,混合型-偏股,96.8873,97.0445,95.4784,94.2214,91.5985,87.8184,83.00215063877819,73.7058167724171
001542,国泰互联网+股票,股票型,股票型,98.1130,94.8439,95.4784,94.7143,92.2967,89.8173,85.07759188315575,74.83898000718304
660010,农银策略精选混合,混合型,混合型-偏股,98.0247,96.3539,95.4747,94.8765,92.4597,90.6465,83.84231071813379,74.50335957141147
000409,鹏华环保产业股票,股票型,股票型,97.1582,95.6849,95.4732,92.3921,90.7104,89.7494,85.98536026406252,77.47953579552257
310398,申万菱信沪深300价值指数A,指数型,指数型-股票,89.8420,93.5323,95.4627,94.5263,92.7000,88.1964,81.5892173043047,74.593933317371
165312,建信央视财经50指数(LOF),指数型,指数型-股票,94.7489,95.7590,95.4627,93.6881,91.6274,88.5335,84.00441030596365,76.09324494193703
610004,信澳中小盘混合A,混合型,混合型-偏股,97.9124,96.6778,95.4627,92.4383,91.6478,89.4411,84.42962109421764,76.32452412306955
